model,hypothesis_label,folds_count,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_binary_mean,precision_binary_std,precision_binary_min,precision_binary_max,recall_binary_mean,recall_binary_std,recall_binary_min,recall_binary_max,f1_binary_mean,f1_binary_std,f1_binary_min,f1_binary_max,precision_micro_mean,precision_micro_std,precision_micro_min,precision_micro_max,recall_micro_mean,recall_micro_std,recall_micro_min,recall_micro_max,f1_micro_mean,f1_micro_std,f1_micro_min,f1_micro_max,f1_macro_mean,f1_macro_std,f1_macro_min,f1_macro_max,cohen_kappa_mean,cohen_kappa_std,cohen_kappa_min,cohen_kappa_max,prevalence_mean,prevalence_std,prevalence_min,prevalence_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_max
social_deviance,drug addicts,5,0.987878788,0.019755159,0.954545455,1,1,0,1,1,0.84,0.260768096,0.4,1,0.892063492,0.185585357,0.571428571,1,0.987878788,0.019755159,0.954545455,1,0.987878788,0.019755159,0.954545455,1,0.987878788,0.019755159,0.954545455,1,0.942818738,0.097994077,0.773714286,1,0.886580525,0.194000315,0.552036199,1,0.07192012,0.0069416,0.061538462,0.075757576,1,0,1,1,1,0,1,1
social_deviance,extremists,5,0.915233622,0.022375232,0.880597015,0.939393939,0.955,0.062249498,0.875,1,0.582051282,0.120727441,0.384615385,0.692307692,0.715001271,0.09736599,0.555555556,0.8,0.915233622,0.022375232,0.880597015,0.939393939,0.915233622,0.022375232,0.880597015,0.939393939,0.915233622,0.022375232,0.880597015,0.939393939,0.832566175,0.054759342,0.743295019,0.882142857,0.669928415,0.103954311,0.501858736,0.765957447,0.189358279,0.007282522,0.181818182,0.196969697,0.919550162,0.013110242,0.905864198,0.935534591,0.841198996,0.019611812,0.811333256,0.859144108
social_deviance,"offenders, criminals, prisoners and/or accused people",5,0.724265386,0.038962408,0.681818182,0.757575758,0.912853755,0.069524391,0.826086957,1,0.557207207,0.041935999,0.513513514,0.621621622,0.69124424,0.044656849,0.644067797,0.741935484,0.724265386,0.038962408,0.681818182,0.757575758,0.724265386,0.038962408,0.681818182,0.757575758,0.724265386,0.038962408,0.681818182,0.757575758,0.720942442,0.039337079,0.678198282,0.756682028,0.467083758,0.075776197,0.380697051,0.528991971,0.55682427,0.004415863,0.552238806,0.560606061,0.859004867,0.044135845,0.794444444,0.915708812,0.887987806,0.048699676,0.811371615,0.937661496
social_deviance,"terrorists, rebels, revolutionaries and/or movements of armed resistance",5,0.885025224,0.048457096,0.818181818,0.953846154,0.911111111,0.144871165,0.666666667,1,0.546666667,0.15202339,0.4,0.8,0.677514273,0.139937999,0.5,0.888888889,0.885025224,0.048457096,0.818181818,0.953846154,0.885025224,0.048457096,0.818181818,0.953846154,0.885025224,0.048457096,0.818181818,0.953846154,0.803746963,0.084484831,0.694444444,0.929881338,0.614007228,0.165853501,0.397260274,0.860215054,0.227298821,0.002812434,0.223880597,0.230769231,0.894475214,0.0325319,0.867973856,0.946153846,0.7916542,0.090376668,0.666900367,0.879710551
real_estate,homeless,5,0.938461538,0.096537695,0.769230769,1,1,0,1,1,0.766666667,0.357301552,0.142857143,1,0.816433566,0.319452048,0.25,1,0.938461538,0.096537695,0.769230769,1,0.938461538,0.096537695,0.769230769,1,0.938461538,0.096537695,0.769230769,1,0.889577293,0.188014351,0.556818182,1,0.795693967,0.339714354,0.195876289,1,0.269230769,0,0.269230769,0.269230769,0.852994987,0.297179283,0.323308271,1,0.848885318,0.290346787,0.334170178,1
real_estate,real-estate owner,5,0.792307692,0.211713215,0.423076923,0.923076923,0.753246753,0.422502284,0,1,0.671428571,0.386639103,0,0.928571429,0.707428571,0.398940433,0,0.928571429,0.792307692,0.211713215,0.423076923,0.923076923,0.792307692,0.211713215,0.423076923,0.923076923,0.792307692,0.211713215,0.423076923,0.923076923,0.766877449,0.266683842,0.297297297,0.922619048,0.616457811,0.356680652,0,0.845238095,0.548076923,0.019230769,0.538461538,0.576923077,0.866580087,0.128999004,0.642424242,0.952380952,0.890148006,0.119290347,0.692395679,0.972049689
real_estate,tenants,5,0.892307692,0.137065613,0.653846154,1,0.775,0.43660623,0,1,0.7,0.401170163,0,1,0.733095238,0.413608162,0,1,0.892307692,0.137065613,0.653846154,1,0.892307692,0.137065613,0.653846154,1,0.892307692,0.137065613,0.653846154,1,0.83209597,0.247256384,0.395348837,1,0.706377883,0.402468978,0,1,0.317307692,0.019230769,0.307692308,0.346153846,0.868954248,0.221675335,0.483660131,1,0.851316714,0.260411613,0.392694679,1
profession,athletes,5,0.965085377,0.0086528,0.951263538,0.97486535,0.953178251,0.02223526,0.925925926,0.981818182,0.773528323,0.064209803,0.684931507,0.851351351,0.852870631,0.041788667,0.787401575,0.9,0.965085377,0.0086528,0.951263538,0.97486535,0.965085377,0.0086528,0.951263538,0.97486535,0.965085377,0.0086528,0.951263538,0.97486535,0.91652935,0.023292173,0.87993932,0.942813142,0.833367465,0.046330118,0.760572398,0.885679939,0.132062926,0.000993338,0.13059034,0.133093525,0.990504219,0.003874709,0.985813614,0.996530692,0.955986772,0.016497181,0.93572416,0.979305386
profession,authors and artists,5,0.982367967,0.006147911,0.976534296,0.991007194,0.88505033,0.036399234,0.84375,0.942857143,0.831111111,0.072120546,0.75,0.916666667,0.856669566,0.053638627,0.805970149,0.929577465,0.982367967,0.006147911,0.976534296,0.991007194,0.982367967,0.006147911,0.976534296,0.991007194,0.982367967,0.006147911,0.976534296,0.991007194,0.923637614,0.028447479,0.896741078,0.962387195,0.847297186,0.056871578,0.793508802,0.924775409,0.064049782,0.000756198,0.063176895,0.064748201,0.991343906,0.006737573,0.981833196,0.998985043,0.900741451,0.050057055,0.862153583,0.98406076
profession,doctors,5,0.996041818,0.000803736,0.994604317,0.996422182,0.957948718,0.060937234,0.866666667,1,0.884615385,0.080752409,0.785714286,1,0.91556044,0.02002076,0.88,0.928571429,0.996041818,0.000803736,0.994604317,0.996422182,0.996041818,0.000803736,0.994604317,0.996422182,0.996041818,0.000803736,0.994604317,0.996422182,0.956766887,0.010213614,0.938620055,0.963359788,0.913548286,0.020412837,0.877280753,0.926729269,0.024466614,0.000895781,0.023465704,0.025179856,0.992355226,0.016317752,0.963167587,1,0.972752676,0.033115576,0.915212982,1
